German,"Der HC Linz AG ist ein 1972 gegründeter österreichischer Handballverein aus Linz. Der Verein stieg 1974 in die höchste Spielklasse auf. Siebenmal wurde man Österreichischer Meister (1978, 1979, 1980, 1981, 1994, 1995 und 1996) und gewann viermal den österreichischen Pokal (1994, 1995, 1996, 1997). In der Saison 1993/94 stand der Verein im Finale des EHF-Pokals. Die U21-Mannschaft wurde achtmal Meister. Die erste Herren-Mannschaft des HC Linz AG spielt in der Handball Liga Austria, der höchsten österreichischen Liga. Das Team gehört seit dem Aufstieg 1974 ununterbrochen der höchsten Spielklasse an. Mit dem Verein ASKÖ HC Neue Heimat besteht eine Spielgemeinschaft und Kooperation, wobei der Spitzensportbereich durch den HC Linz AG und der leistungsorientierte Breitensportbereich durch den ASKÖ HC Neue Heimat bedient wird, die Nachwuchsarbeit wird gemeinsam betrieben. Heimspielstätte ist die Sporthauptschule Linz Kleinmünchen."
Polish,"Borowiec Stary – dawna gromada, czyli najmniejsza jednostka podziału terytorialnego Polskiej Rzeczypospolitej Ludowej w latach 1954–1972. Gromady, z gromadzkimi radami narodowymi (GRN) jako organami władzy najniższego stopnia na wsi, funkcjonowały od reformy reorganizującej administrację wiejską przeprowadzonej jesienią 1954 do momentu ich zniesienia z dniem 1 stycznia 1973, tym samym wypierając organizację gminną w latach 1954–1972. Gromadę Borowiec Stary z siedzibą GRN w Borowcu Starym (w obecnym brzmieniu Stary Borowiec) utworzono – jako jedną z 8759 gromad na obszarze Polski – w powiecie konińskim w woj. poznańskim, na mocy uchwały nr 25/54 WRN w Poznaniu z dnia 5 października 1954. W skład jednostki weszły obszary dotychczasowych gromad Borowiec Nowy, Borowiec Stary, Ciświca Stara, Konary i Zaguźnica oraz miejscowość Huta Stara z dotychczasowej gromady Junno ze zniesionej gminy Grodziec w tymże powiecie. Dla gromady ustalono 13 członków gromadzkiej rady narodowej. Gromadę zniesiono 1 stycznia 1959, a jej obszar włączono do gromady Grodziec w tymże powiecie."
Polish,"Edwin William J. Carr (ur. 2 września 1928 w Sydney, zm. 25 marca 2018 w Cowra) – australijski lekkoatleta  sprinter, olimpijczyk z 1952, później lekarz chirurg. Zwyciężył w biegu na 440 jardów i w sztafecie 4 × 440 jardów (w składzie: Carr, George Gedge, James Humphreys i Ross Price) na igrzyskach Imperium Brytyjskiego w 1950 w Auckland. Na igrzyskach olimpijskich w 1952 w Helsinkach odpadł w  ćwierćfinale biegu na 200 metrów oraz eliminacjach biegu na 400 metrów, sztafety 4 × 100 metrów i sztafety 4 × 400 metrów. Był mistrzem Australii w biegu na 440 jardów w latach 1948/1949, 1949/1950 i 1951/1952 oraz wicemistrzem na tym dystansie w 1946/1947. Dwukrotnie poprawiał rekord Australii w sztafecie 4 × 400 metrów do czasu 3:15,8, uzyskanego 26 lipca 1952 w Helsinkach. Ukończył studia medyczne na Uniwersytecie w Sydney i przez wiele lat praktykował jako chirurg. Jego ojciec Edwin „Slip” Carr również był lekkoatletą, olimpijczykiem z 1924."
Polish,"Karl Ludwig Schleich (ur. 19 lipca 1859 w Szczecinie, zm. 7 marca 1922 w Bad Saarow) – niemiecki chirurg, malarz, poeta. Od 1899 roku był profesorem uniwersytetu w Berlinie, a rok później został kierownikiem oddziału chirurgii w Groß-Lichterfelde. Jako pierwszy zastosował znieczulenie miejscowe w chirurgii ogólnej. Zalecał w tym celu stosowanie narkotyku – kokainy. W 1892 roku w Berlinie przedstawił wyniki swoich badań, nawołując do stosowania znieczulenia nasiękowego. Spotkał się z oburzeniem chirurgów, nazywając przeprowadzanie operacji pod całkowitą narkozą ""zbrodnią"". Mimo to opisał swoją metodę w książce Bezbolesne operacje, znieczulenie miejscowe płynami obojętnymi w 1894 roku. Na skutek dużej toksyczności metodę zaczęto stosować dopiero po otrzymaniu w 1905 roku syntetycznej nowokokainy. Był autorem esejów na temat śmierci i histerii. Schleich uznawany jest za pierwszego naukowca, który wskazał na rolę gleju w funkcji mózgu. W swoich wspomnieniach pisał, że teoria przyszła mu do głowy w trakcie wydawanego w swoim salonie wieczornego przyjęcia „około roku 1890”, gdy „genialny pianista” Stanisław Przybyszewski, przyjaciel Schleicha, grał na fortepianie."
Polish,"Amiota subtusradiata – gatunek muchówki z rodziny wywilżnowatych i podrodziny Steganinae. Gatunek ten opisany został w 1934 roku przez Oswalda Dudę. Muchówka o ciele długości od 3,5 do 4 mm. Głowę jej charakteryzuje słabo rozwinięta listewka twarzowa. Arista czułka ma wierzch i spód pierzasto owłosione, przy czym na spodzie owłosienie układa się w 3–4 rzędach. Tułów ma śródplecze czarne z lustrzanym połyskiem oraz duże, białe plamy na guzach barkowych i szwach między mezopleurami a pteropleurami. Skrzydła cechują się żyłką subkostalną bez sierpowatego zakrzywienia za żyłką barkową oraz tylną komórką bazalną odseparowaną od komórki dyskoidalnej. Odnóża wyróżnia ubarwienie ud i większej części goleni czarne lub czarniawobrązowe. Odwłok ma kolor błyszcząco czarny. Owad znany z Francji, Finlandii, Polski, Czech, Słowacji, Węgier, Rumunii, europejskiej części Rosji i wschodniej Palearktyki aż Kraj Nadmorski i Przyamurze. Zasiedla wilgotne lasy liściaste."
German,"Der César ist der nationale Filmpreis Frankreichs. Er ist nach dem französischen Bildhauer César Baldaccini benannt, der die Trophäe für den Preis entwarf. Der César wurde 1975 vom Filmjournalisten und Publizisten Georges Cravenne ins Leben gerufen und am 3. April 1976 erstmals vergeben. Die Nominierungen werden durch die Mitglieder der Académie des Arts et Techniques du Cinéma vorgenommen. Am 14. Februar 2020, zwei Wochen vor der Verleihung 2020, ist das Präsidium der Preisakademie geschlossen zurückgetreten. Die Auszeichnung ging aus dem Filmpreis Étoile de Cristal hervor, der von 1955 bis 1975 verliehen wurde.Die im Fernsehen ausgestrahlte Zeremonie zur Preisverleihung, die sogenannte La Nuit des césars (dt.: „Die Nacht der Césars“), findet alljährlich im Februar im Théâtre du Châtelet in Paris statt. Der César ehrt die besten Produktionen und Künstler des französischen Films. Ursprünglich wurde der César in 13 Kategorien vergeben, derzeit gibt es – ohne Ehrenpreis – 21 Kategorien. In einer Kategorie werden auch internationale Filmproduktionen prämiert. Die letzte Preisverleihung fand am 24. Februar 2023 statt."
English,"Gamecock Cottage is an historic building located at Stony Brook in Brookhaven Town, in Suffolk County, New York on Long Island.  It was built in 1876 for storage of oars and sliding-seat rowboats and is the only remaining wooden beach cottage that was part of West Meadow Beach.  It is located at the southernmost point of a peninsula within what is now part of the West Meadow Wetlands Reserve, as the official public beach is now restricted to the north.  The Gamecock Cottage sits at the southern endpoint of West Meadow Lane, which was once called Trustees Road. It is a 1+1⁄2-story building with a front-gabled roof with a four-sided wooden cupola located in the center of the ridge line in the Gothic Revival style.  It is 20 feet, 5 inches wide and 25 feet, 5 inches long and covered with board and batten siding.It was added to the National Register of Historic Places in 2007."
English,"Le Corsaire is a ballet typically presented in three acts, with a libretto originally created by Jules-Henri Vernoy de Saint-Georges loosely based on the poem The Corsair by Lord Byron. Originally choreographed by Joseph Mazilier to the music of Adolphe Adam and other composers, it was first presented by the ballet of the Théâtre Impérial de l’Opéra in Paris on 23 January 1856. All modern productions of Le Corsaire are derived from the revivals staged by the Ballet Master Marius Petipa for the Imperial Ballet of St. Petersburg throughout the mid to late 19th century. The ballet has many celebrated passages which are often excerpted from the full-length work and performed independently: the scene Le Jardin animé, the Pas d’esclave, the Pas de trois des odalisques, and the so-called Le Corsaire pas de deux (music mostly by Riccardo Drigo), which is among classical ballet's most famous and performed excerpts.  "
Spanish,"Facundo Díaz Troncoso[1]​ (Montevideo, 15 de febrero de 1993),[2]​[3]​ más conocido como Facu Díaz, es un presentador, streamer y humorista español de origen uruguayo.  Nació en Montevideo, Uruguay, creció hasta los 8 años en Salinas y a partir de esa edad lo hizo en Blanes, Gerona, España.[4]​[5]​ Fue el director del programa Tuerka news de La tuerka que se emitió en Público TV a través de internet, entre 2014 y 2016. Posteriormente formó parte del proyecto humorístico No te metas en política (NTMEP), con su compañero de Tuerka news, Miguel Maldonado. También ha colaborado en el programa Late motiv de Andreu Buenafuente.[6]​ Además actualmente cuenta con su propio canal de Twitch bajo el nombre de facudiazt, donde desarrolla un programa matinal diario llamado Buenos días in the morning en el que mezcla actualidad, entretenimiento y humor.[7]​ Se identifica como comunista y estuvo adscrito al Partido Comunista de España.[8]​[9]​[10]​"
German,"Dies ist ein Verzeichnis der Straßennamen der Hansestadt Stralsund. Das Verzeichnis nennt den Namen der Straße und (in Klammern) den Ortsteil. Dazu wird eine Erläuterung (Jahr der Benennung, Grund) zum Straßennamen gegeben. Wegen der großen Anzahl an Straßen wurde das Verzeichnis nach den Anfangsbuchstaben der Straßennamen aufgeteilt. Unter „Allgemeines“ finden Sie die Einleitung und Erläuterungen zu den Straßennamen allgemein. Beispiel: Den Amanda-Weber-Ring finden Sie unter A.  Gänseweide (Süd / Andershof)Garbodenhagen (Grünhufe / Stadtkoppel)Gartenstraße (Franken / Frankenvorstadt)Garzer Weg (Franken / Frankensiedlung)Benannt nach der Stadt Garz auf Rügen. In dieser Siedlung wurden überwiegend Straßen nach Orten auf der Insel Rügen benannt.GasometerwegDiese Straße wurde im Jahr 2005 angelegt und nach den hier bis zu ihrem Abriss im Jahr 2003 befindlichen Gasometern benannt.Gentzkowstraße (Franken / Frankenvorstadt)Die Gentzkowstraße entstand in den 1920er Jahren unter dem Namen Bahnweg. 1927 wurden mehrere Stralsunder Straßen auf Beschluss des Rates der Stadt nach ehemaligen Bürgermeistern benannt; der Bahnweg wurde damit 1927 nach dem Chronisten Dr. jur. Nikolaus Gentzkow (* 1502, † 1576), der von 1555 bis zu seinem Tod Bürgermeister in Stralsund war, benannt. In der Gentzkowstraße befand sich die Zuckerfabrik Stralsund, die am 31. Dezember 1992 geschlossen wurde.Gerhart-Hauptmann-Straße (Knieper / Kniepervorstadt)Benannt nach dem deutschen Schriftsteller Gerhart Hauptmann. Dieser ließ sich in seinen letzten Lebensjahren auf der Insel Hiddensee nieder. Ein direkter Bezug zu Stralsund besteht jedoch nicht. Zunächst hieß sie Am Strande, was auf den nahe gelegenen Strelasund zurückzuführen ist, ab 1869 dann Strandstraße. Nach der Entfestung Stralsunds 1873 wurde hier vor allem durch reiche Bürger viel gebaut. In der Straße steht u. a. das Schloss am Sund. 1976 wurde die Straße anlässlich des 30. Todestages Gerhart Hauptmanns erneut umbenannt.Gewerbestraße (Grünhufe / Stadtkoppel)Ginsterbusch (Grünhufe / Stadtkoppel)Benannt nach dem Ginster. Viele Straßen dieses Viertels wurden nach einheimischen Pflanzen und Sträuchern benannt.Gottlieb-Mohnike-Weg (Knieper / Knieper West)Bedeutsam in Stralsunds Geschichte waren gleich zwei Männer namens Gottlieb Mohnike: Der deutsche Arzt Otto Gottlieb Mohnike (1814–1887) (der gebürtige Stralsunder machte sich vor allem auf dem Gebiet der flächendeckenden Pockenschutzimpfung in Japan einen Namen) und sein Vater Gottlieb Christian Mohnike (1781–1841), der als Pfarrer der St. Jakobi-Kirche und als Konsistorial- und Schulrat sowie Leiter der Regierungsschulbehörde und zudem als Nordist tätig war und nach dem die Straße benannt wurde.Grabenweg (Grünhufe / Freienlande)Grabower Weg (Süd / Andershof)Graf-v.-Stauffenberg-Straße (Grünhufe / Grünthal-Viermorgen)Benannt nach den deutschen Widerstandskämpfern gegen den Nationalsozialismus Berthold und Oberst Claus Schenk Graf von Stauffenberg. Sie waren Hauptpersonen beim Aufstand am 20. Juli 1944. Ein direkter Bezug zu Stralsund besteht nicht.Grahlhofer Weg (Süd  / Andershof)Benannt nach dem auf der Insel Rügen gelegenen Gut Grahlhof. Dies ging im 16. Jahrhundert in den Besitz des Stralsunder Klosters St. Jürgen am Strande über.Grasnelkenweg (Süd / Andershof)Benannt nach der heimischen Grasnelke. In diesem Stadtviertel wurden die Straßen überwiegend nach einheimischen Pflanzen benannt.Greifswalder Chaussee (Franken / Franken Mitte bzw. Frankensiedlung bzw. Süd / Andershof)Diese Chaussee führt als ehemalige Bundesstraße 96 in Richtung Greifswald. Ihre einst sehr große Bedeutung für die Stadt sank durch den Bau einer Umgehungsstraße Anfang 2004. Die Straße wurde unter dem Namen An der Chaussee angelegt und erst bei der Reform der Straßennamen 1869 als Greifswalder Chaussee bezeichnet. Am 17. April 1975 beschloss der Rat der Stadt die Umbenennung in Straße der Befreiung zum 30. April 1975 in Anlehnung an die Befreiung der Stadt 1945 durch die von Greifswald einrückende Rote Armee. Am 8. November 1990 beschloss die Bürgerschaft die Rückbenennung.Griegstraße (Knieper / Knieper Nord)Benannt nach dem norwegischen Komponisten Edvard Grieg. Die Straße liegt im sog. Musikerviertel. Ein direkter Bezug zu Stralsund besteht nicht.Groß Lüdershäger Weg (Tribseer / Tribseer Siedlung bzw. Tribseer Wiesen)Benannt nach der Ortschaft Groß Lüdershagen am Stadtrand Stralsunds.Große Papenstraßeehemaliger Straßenname, siehe BöttcherstraßeGroße Parower Straße (Knieper / Kniepervorstadt bzw. Knieper Nord)Die Große Parower Straße entstand Mitte des 19. Jahrhunderts und hieß zunächst noch Am Parower Wege. Sie führte aus der Stadt ins benachbarte Parow. 1869 erhielt sie ihren heutigen Namen. Hier entstand in den 1930er Jahren die Luftwaffensiedlung, eine lange Reihe von Häusern für die in Parow stationierte Luftwaffe, sowie das Krankenhaus am Sund.Großer Diebsteig (Franken / Frankenvorstadt)Der Kleine und der Große Diebsteig wurden bereits zu Beginn des 15. Jahrhunderts erwähnt, damals noch als devestig (deve bedeutet Diebe, Straßenräuber). Die Straßen lagen knapp außerhalb der Stadtmauern, am Handelsweg nach Greifswald. Hier trieben Straßenräuber ihr Unwesen. Ein Umbenennungswunsch am Ende des 19. Jahrhundert an den „Hochwohlgeborenen Rath“ („Durch die gruseligen Namen bekommen wir keine Mieter mehr in unsere Häuser; wir sind gezwungen, deshalb die Sätze der Mieten immer stärker herabzustezen.“) blieb erfolglos.Grünhufe (Grünhufe / Grünthal-Viermorgen)Grünhufer Bogen (Knieper / Knieper West bzw. Grünhufe)Grünstraße (Franken / Frankenvorstadt)Grünthal (Grünhufe / Grünthal-Viermorgen)Grünthaler Hof (Grünhufe / Stadtkoppel)Grützmacherstraßeehemaliger Straßenname, siehe JacobiturmstraßeGustav-Adolf-Straße (Knieper / Kniepervorstadt)Diese Straße wurde wahrscheinlich 1931 nach dem schwedischen König Gustav II. Adolf benannt. Er kam Stralsund mit seinen Truppen im Kampf gegen Wallenstein zu Hilfe.Gustower Weg (Süd / Andershof)Benannt nach dem Ort Gustow auf Rügen. Gustow befindet sich praktisch gegenüber der Stadt Stralsund auf der gegenüberliegenden Seite des Strelasunds und nahe an der rügenseitigen Abfahrt des Rügendamms."
